Eloquence Software Synthesizer Voice profile,,,,
Unique Identifier,Aliases,Range,Default,Definition
,ptb-JAWSCursor.Pitch,"range(1,100)",58,
,ptb-JAWSCursor.Volume,"range(0,100)",100,
,ptb-JAWSCursor.Punctuation,"range(0,3)",2,
,ptb-JAWSCursor.SpellRateDelta,Integer,-20,
,ptb-JAWSCursor.UpperCasePitchDelta,Integer,20,
,ptb-JAWSCursor.Parent,text,Global,
,ptb-JAWSCursor.VoiceName,text,Glen,
,ptb-JAWSCursor.SynthLangString,text,Brazilian Portuguese,
,ptb-Keyboard.DisplayName,text,Keyboard,
,ptb-Keyboard.Rate,"range(40,150)",57,
,ptb-Keyboard.Pitch,"range(1,100)",65,
,ptb-Keyboard.Volume,"range(0,100)",100,
,ptb-Keyboard.Punctuation,"range(0,3)",2,
,ptb-Keyboard.SpellRateDelta,Integer,-20,
,ptb-Keyboard.UpperCasePitchDelta,Integer,20,
,ptb-Keyboard.Parent,text,Global,
,ptb-Keyboard.VoiceName,text,Reed,
,ptb-Keyboard.SynthLangString,text,Brazilian Portuguese,
,ptb-MenuAndDialog.DisplayName,text,Menu and Dialog,
,ptb-MenuAndDialog.Rate,"range(40,150)",57,
,ptb-MenuAndDialog.Pitch,"range(1,100)",65,
,ptb-MenuAndDialog.Volume,"range(0,100)",100,
,ptb-MenuAndDialog.Punctuation,"range(0,3)",2,
,ptb-MenuAndDialog.SpellRateDelta,Integer,-20,
,ptb-MenuAndDialog.UpperCasePitchDelta,Integer,20,
,ptb-MenuAndDialog.Parent,text,Global,
,ptb-MenuAndDialog.VoiceName,text,Reed,
,ptb-MenuAndDialog.SynthLangString,text,Brazilian Portuguese,
,ptb-Message.DisplayName,text,Message,
,ptb-Message.Rate,"range(40,150)",57,
,ptb-Message.Pitch,"range(1,100)",60,
,ptb-Message.Volume,"range(0,100)",100,
,ptb-Message.Punctuation,"range(0,3)",0,
,ptb-Message.SpellRateDelta,Integer,-20,
,ptb-Message.UpperCasePitchDelta,Integer,20,
,ptb-Message.Parent,text,Global,
,ptb-Message.VoiceName,text,Reed,
,ptb-Message.SynthLangString,text,Brazilian Portuguese,
,ptb-PCCursor.DisplayName,text,PC Cursor,
,ptb-PCCursor.Rate,"range(40,150)",57,
,ptb-PCCursor.Pitch,"range(1,100)",65,
,ptb-PCCursor.Volume,"range(0,100)",100,
,ptb-PCCursor.Punctuation,"range(0,3)",2,
